Crosswalk of Popular Vote (popV) annotated cells to Cell Ontology,,,,,,
,,,,,,
Author Name(s):,Ellen M. Quardokus,Aleix Puig-Barbe,,,,
mesenteric lymph node,UBERON:0002509,mature NK T cell,PV:0000207,mature NK T cell,CL:0000814,skos:exactMatch
mesenteric lymph node,UBERON:0002509,mature conventional dendritic cell,PV:0000208,mature conventional dendritic cell,CL:0000841,skos:exactMatch
mesenteric lymph node,UBERON:0002509,neutrophil,PV:0000209,neutrophil,CL:0000775,skos:exactMatch
mesenteric lymph node,UBERON:0002509,non-classical monocyte,PV:0000210,non-classical monocyte,CL:0000875,skos:exactMatch
mesenteric lymph node,UBERON:0002509,plasma cell,PV:0000211,plasma cell,CL:0000786,skos:exactMatch
mesenteric lymph node,UBERON:0002509,regulatory T cell,PV:0000212,regulatory T cell,CL:0000815,skos:exactMatch
mesenteric lymph node,UBERON:0002509,stromal cell,PV:0000213,stromal cell,CL:0000499,skos:exactMatch
mesenteric lymph node,UBERON:0002509,type I NK T cell,PV:0000214,type I NK T cell,CL:0000921,skos:exactMatch
pancreas,UBERON:0001264,B cell,PV:0000215,B cell,CL:0000236,skos:exactMatch
pancreas,UBERON:0001264,T cell,PV:0000216,T cell,CL:0000084,skos:exactMatch
pancreas,UBERON:0001264,endothelial cell,PV:0000217,endothelial cell,CL:0000115,skos:exactMatch
pancreas,UBERON:0001264,fibroblast,PV:0000218,fibroblast,CL:0000057,skos:exactMatch
pancreas,UBERON:0001264,mast cell,PV:0000219,mast cell,CL:0000097,skos:exactMatch
pancreas,UBERON:0001264,mature NK T cell,PV:0000220,mature NK T cell,CL:0000814,skos:exactMatch
pancreas,UBERON:0001264,myeloid cell,PV:0000221,myeloid cell,CL:0000763,skos:exactMatch
pancreas,UBERON:0001264,pancreatic A cell,PV:0000222,pancreatic A cell,CL:0000171,skos:exactMatch
pancreas,UBERON:0001264,pancreatic PP cell,PV:0000223,pancreatic PP cell,CL:0002275,skos:exactMatch
pancreas,UBERON:0001264,pancreatic acinar cell,PV:0000224,pancreatic acinar cell,CL:0002064,skos:exactMatch
pancreas,UBERON:0001264,pancreatic ductal cell,PV:0000225,pancreatic ductal cell,CL:0002079,skos:exactMatch
pancreas,UBERON:0001264,pancreatic stellate cell,PV:0000226,pancreatic stellate cell,CL:0002410,skos:exactMatch
pancreas,UBERON:0001264,plasma cell,PV:0000227,plasma cell,CL:0000786,skos:exactMatch
pancreas,UBERON:0001264,type B pancreatic cell,PV:0000228,type B pancreatic cell,CL:0000169,skos:exactMatch
prostate gland,UBERON:0002367,"CD8-positive, alpha-beta T cell",PV:0000229,"CD8-positive, alpha-beta T cell",CL:0000625,skos:exactMatch
prostate gland,UBERON:0002367,basal cell of prostate epithelium,PV:0000230,basal cell of prostate epithelium,CL:0002341,skos:exactMatch
prostate gland,UBERON:0002367,club cell,PV:0000231,club cell,CL:0000158,skos:exactMatch
prostate gland,UBERON:0002367,endothelial cell,PV:0000232,endothelial cell,CL:0000115,skos:exactMatch
prostate gland,UBERON:0002367,epithelial cell,PV:0000233,epithelial cell,CL:0000066,skos:exactMatch
prostate gland,UBERON:0002367,erythroid progenitor cell,PV:0000234,erythroid progenitor cell,CL:0000038,skos:exactMatch
prostate gland,UBERON:0002367,fibroblast,PV:0000235,fibroblast,CL:0000057,skos:exactMatch
prostate gland,UBERON:0002367,luminal cell of prostate epithelium,PV:0000236,luminal cell of prostate epithelium,CL:0002340,skos:exactMatch
prostate gland,UBERON:0002367,macrophage,PV:0000237,macrophage,CL:0000235,skos:exactMatch
prostate gland,UBERON:0002367,mature NK T cell,PV:0000238,mature NK T cell,CL:0000814,skos:exactMatch
prostate gland,UBERON:0002367,monocyte,PV:0000239,monocyte,CL:0000576,skos:exactMatch
