Peripheral Nervous System Organ Crosswalk,,,,,,,,,,,,
,,,,,,,,,,,,
Author Name(s):,Katherine S Gustilo; Ilias Ziogas; Fahim Imam,,,,,,,,,,,
Author ORCID(s):,0000-0002-5574-4272; 0000-0002-9210-2455; 0000-0003-4752-543X,,,,,,,,,,,
Reviewer(s):,Griffin Weber,,,,,,,,,,,
Reviewer ORCID(s):,0000-0002-2597-881X,,,,,,,,,,,
General Publication(s):,"Netter FH. Atlas of human anatomy. Philadelphia, PA: Saunders/Elsevier. 2006.; Gray H. Gray's Anatomy: The Anatomical Basis of Clinical Practice (40th ed.). Churchill-Livingstone, Elsevier. 2008.",,,,,,,,,,,
Data DOI:,https://doi.org/10.48539/HBM446.ZZZN.837,,,,,,,,,,,
Date:,"June 15, 2024",,,,,,,,,,,
Version Number:,v1.0,,,,,,,,,,,
Nerve,NerveID,Relationship,BodySubPart,BodySubPartID,BodySubPartSequence,BodyPart,BodyPartID,FTU,FTULabel,FTUID,Angiosome,AngiosomeID
branch of medial pectoral nerve to sternocostal part of pectoralis major,FMA:81333,innervates,pectoralis major,UBERON:0002381,999,muscular system,UBERON:0000383,,,,,
lateral pectoral nerve,FMA:65296,innervates,pectoralis major,UBERON:0002381,999,muscular system,UBERON:0000383,,,,,
medial pectoral nerve,FMA:65293,innervates,pectoralis minor,UBERON:0001100,999,muscular system,UBERON:0000383,,,,,
pectoralis minor branch of medial pectoral nerve (1),FMA:81263,innervates,pectoralis minor,UBERON:0001100,999,muscular system,UBERON:0000383,,,,,
anterior interosseous nerve,FMA:44822,innervates,pronator quadratus muscle,,999,muscular system,UBERON:0000383,,,,,
median nerve,UBERON:0001148,innervates,pronator quadratus muscle,,999,muscular system,UBERON:0000383,,,,,
nerve to pronator quadratus,FMA:44835,innervates,pronator quadratus muscle,,999,muscular system,UBERON:0000383,,,,,
median nerve,UBERON:0001148,innervates,pronator teres muscle,UBERON:0001520,999,muscular system,UBERON:0000383,,,,,
nerve to pronator teres,FMA:44823,innervates,pronator teres muscle,UBERON:0001520,999,muscular system,UBERON:0000383,,,,,
dorsal ramus of spinal nerve,UBERON:0006839,innervates,rectus capitis posterior major,UBERON:0008454,999,muscular system,UBERON:0000383,,,,,
suboccipital nerve,FMA:7054,innervates,rectus capitis posterior major,UBERON:0008454,999,muscular system,UBERON:0000383,,,,,
dorsal ramus of spinal nerve,UBERON:0006839,innervates,rectus capitis posterior minor,UBERON:0008455,999,muscular system,UBERON:0000383,,,,,
suboccipital nerve,FMA:7054,innervates,rectus capitis posterior minor,UBERON:0008455,999,muscular system,UBERON:0000383,,,,,
long thoracic nerve,FMA:65275,innervates,serratus anterior muscle,UBERON:0001125,999,muscular system,UBERON:0000383,,,,,
nerve to serratus anterior (1),FMA:81373,innervates,serratus anterior muscle,UBERON:0001125,999,muscular system,UBERON:0000383,,,,,
nerve to serratus anterior (2),FMA:81374,innervates,serratus anterior muscle,UBERON:0001125,999,muscular system,UBERON:0000383,,,,,
nerve to serratus anterior (n),FMA:81375,innervates,serratus anterior muscle,UBERON:0001125,999,muscular system,UBERON:0000383,,,,,
eleventh intercostal nerve,FMA:8611,innervates,serratus dorsalis inferior muscle,UBERON:0001127,999,muscular system,UBERON:0000383,,,,,
ninth intercostal nerve,FMA:8609,innervates,serratus dorsalis inferior muscle,UBERON:0001127,999,muscular system,UBERON:0000383,,,,,
tenth intercostal nerve,FMA:8610,innervates,serratus dorsalis inferior muscle,UBERON:0001127,999,muscular system,UBERON:0000383,,,,,
fifth intercostal nerve,FMA:8605,innervates,serratus dorsalis superior muscle,UBERON:0001126,999,muscular system,UBERON:0000383,,,,,
fourth intercostal nerve,FMA:8604,innervates,serratus dorsalis superior muscle,UBERON:0001126,999,muscular system,UBERON:0000383,,,,,
second intercostal nerve,FMA:8602,innervates,serratus dorsalis superior muscle,UBERON:0001126,999,muscular system,UBERON:0000383,,,,,
third intercostal nerve,FMA:8603,innervates,serratus dorsalis superior muscle,UBERON:0001126,999,muscular system,UBERON:0000383,,,,,
long thoracic nerve,FMA:65275,innervates,serratus ventralis,UBERON:0001125,999,muscular system,UBERON:0000383,,,,,
nerve to serratus anterior (1),FMA:81373,innervates,serratus ventralis,UBERON:0001125,999,muscular system,UBERON:0000383,,,,,
nerve to serratus anterior (2),FMA:81374,innervates,serratus ventralis,UBERON:0001125,999,muscular system,UBERON:0000383,,,,,
nerve to serratus anterior (n),FMA:81375,innervates,serratus ventralis,UBERON:0001125,999,muscular system,UBERON:0000383,,,,,
