Musculoskeletal Crosswalk,,,,,,,,,,,,,
,,,,,,,,,,,,,
Author Name(s):,Katherine S Gustilo; Griffin Weber,,,,,,,,,,,,
Author ORCID(s):,0000-0002-5574-4272; 0000-0002-2597-881X,,,,,,,,,,,,
Reviewer(s):,,,,,,,,,,,,,
Reviewer ORCID(s):,,,,,,,,,,,,,
General Publication(s):,,,,,,,,,,,,,
Data DOI:,https://doi.org/10.48539/HBM693.NGDL.755,,,,,,,,,,,,
Date:,"March 7, 2025",,,,,,,,,,,,
Version Number:,v1.1,,,,,,,,,,,,
Structure1Name,Structure1ID,Structure1Type,Relationship,Relationship2,Structure2Name,Structure2ID,Structure2Type,JointName,JointLabel,JointID,JoiningStructureName,JoiningStructureLabel,JoiningStructureID
supinator muscle,UBERON:0003228,muscle,attached_to,has_muscle_origin,radial collateral ligament,,ligament,,,,,,
supinator muscle,UBERON:0003228,muscle,attached_to,has_muscle_insertion,shaft of radius,,bone,,,,,,
supinator muscle,UBERON:0003228,muscle,attached_to,has_muscle_origin,supinator crest of ulna,FMA:23626,bone,,,,,,
supinator muscle,UBERON:0003228,muscle,attached_to,has_muscle_origin,supinator fossa of ulna,,bone,,,,,,
supraspinatus muscle,UBERON:0002383,muscle,attached_to,has_muscle_insertion,greater tubercle of humerus,FMA:23390,bone,,,,,,
supraspinatus muscle,UBERON:0002383,muscle,attached_to,has_muscle_origin,supraspinous fossa of scapula,,bone,,,,,,
teres major muscle,UBERON:0001478,muscle,attached_to,has_muscle_origin,inferior angle of scapula,UBERON:0007175,bone,,,,,,
teres major muscle,UBERON:0001478,muscle,attached_to,has_muscle_insertion,intertubercular sulcus of humerus,FMA:23396,bone,,,,,,
teres minor muscle,UBERON:0010496,muscle,attached_to,has_muscle_insertion,greater tubercle of humerus,FMA:23390,bone,,,,,,
teres minor muscle,UBERON:0010496,muscle,attached_to,has_muscle_origin,lateral border of scapula,UBERON:0007173,bone,,,,,,
third dorsal interosseous muscle,,muscle,attached_to,has_muscle_insertion,base of third proximal phalanx of hand,FMA:37511,bone,,,,,,
third dorsal interosseous muscle,,muscle,attached_to,has_muscle_insertion,extensor expansion of 3rd digit,,fascia,,,,,,
third dorsal interosseous muscle,,muscle,attached_to,has_muscle_origin,shaft of fourth metacarpal bone,FMA:42878,bone,,,,,,
third dorsal interosseous muscle,,muscle,attached_to,has_muscle_origin,shaft of third metacarpal bone,FMA:42875,bone,,,,,,
third lumbrical,,muscle,attached_to,has_muscle_origin,2nd tendon of flexor digitorum profundus,,tendon,,,,,,
third lumbrical,,muscle,attached_to,has_muscle_origin,3rd tendon of flexor digitorum profundus,,tendon,,,,,,
third lumbrical,,muscle,attached_to,has_muscle_insertion,extensor expansion of 4th digit,,fascia,,,,,,
